Title,Genres,Company,Platform,Rel
Super Mario 64 DS,Action,Nintendo,Nintendo DS,2004
Lumines: Puzzle Fusion,Strategy,Ubisoft,Sony PSP,2004
WarioWare Touched!,"Action,Racing / Driving,Sports",Nintendo,Nintendo DS,2004
Hot Shots Golf: Open Tee,Sports,Sony,Sony PSP,2004
Spider-Man 2,Action,Activision,Nintendo DS,2004
The Urbz: Sims in the City,Simulation,EA,Nintendo DS,2004
Ridge Racer,Racing / Driving,Namco,Sony PSP,2004
Metal Gear Ac!d,Strategy,Konami,Sony PSP,2004
Madden NFL 2005,Sports,EA,Nintendo DS,2004
Pokmon Dash,Racing / Driving,Nintendo,Nintendo DS,2004
Dynasty Warriors,"Action,Adventure,Role-Playing (RPG)",,Sony PSP,2004
Feel the Magic XY/XX,"Action,Adventure,Racing / Driving,Sports",Sega,Nintendo DS,2004
Ridge Racer DS,Racing / Driving,Namco,Nintendo DS,2004
Darkstalkers Chronicle: The Chaos Tower,Action,Capcom,Sony PSP,2004
Ape Escape Academy,"Action,Sports",Sony,Sony PSP,2004
Polarium,Strategy,Nintendo,Nintendo DS,2004
Asphalt: Urban GT,"Racing / Driving,Simulation",Ubisoft,Nintendo DS,2004
Zoo Keeper,Action,,Nintendo DS,2004
Mr. DRILLER: Drill Spirits,Action,Namco,Nintendo DS,2004
Sprung,Adventure,Ubisoft,Nintendo DS,2004
Armored Core: Formula Front - Extreme Battle,"Action,Strategy",,Sony PSP,2004
Puyo Pop Fever,"Action,Strategy",Sega,Nintendo DS,2004
Mario Kart DS,Racing / Driving,Nintendo,Nintendo DS,2005
Nintendogs,Simulation,Nintendo,Nintendo DS,2005
Brain Age: Train Your Brain in Minutes a Day!,Action,Nintendo,Nintendo DS,2005
Brain Agey: More Training in Minutes a Day!,Action,Nintendo,Nintendo DS,2005
Grand Theft Auto: Liberty City Stories,"Action,Racing / Driving","Capcom,Rockstar",Sony PSP,2005
Animal Crossing: Wild World,Simulation,Nintendo,Nintendo DS,2005
Big Brain Academy,Action,Nintendo,Nintendo DS,2005
Call of Duty 2,Action,"Activision,Konami",X360,2005
Midnight Club 3: DUB Edition,Racing / Driving,Rockstar,Sony PSP,2005
Need for Speed: Most Wanted 5-1-0,Racing / Driving,EA,Sony PSP,2005
Pokmon Mystery Dungeon: Blue Rescue Team,Role-Playing (RPG),Nintendo,Nintendo DS,2005
